CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Juizo;Instancia;Data_Instauracao;Valor_Causa;Partes_Processo;Chance_Perda;Principais_Fatos;Analise_Impacto_Perda
00.332.266/0001-31;2020-12-01;1;0018064-23.2014.8.19.0209;03ª Vara Cível;Com sentença;2014-06-16;96268.8942083836;CASA & VÍDEO RIO DE JANEIRO S/A;PROVÁVEL;Renovação do contrato de locação.;96268.8942083836
00.868.235/0001-08;2020-12-01;1;3408851-74.2005.8.21.0001;06ª Vara da Fazenda Pública;Nos tribunais superiores;2000-06-09;56560.33;MUNICÍPIO DE PORTO ALEGRE;PROVÁVEL;Nulidade do IPTU com pedido de antecipação de tutela, a fim de discutir a alíquota de 6% referente aos exercícios de 1998, 1999 e 2000, referente ao imóvel situado na Rua Primeiro de Janeiro, 100, em vista da inconstitucionalidade do regime da progressividade de alíquotas fixado pela Lei 7/73, com a redação dada pela Lei 212/89.09/11/2017 Decisão desfavorável em segunda instância. Recurso especial sobrestado para julgamento pelo rito dos recursos repetitivos. Em 11/08/2017 Processo Reativado. Em 11/08/2017 Concluso os autos para juízo de admissibilidade. Em 14/08/2017 Processo desarquivado por paradigma julgado. Em 24/10/2017 Expedida nota de expediente. Em 09/11/2017 Proferida Decisão: "deve ser reativado o recurso extraordinário, oportunamente retornem os autos conclusos a esta Vice-Presidência, sob o registro do pertinente recurso extraordinário".;O valor envolvido atualizado é de R$ 74.456,17
01.201.140/0001-90;2020-12-01;1;16327-720.193/2020-28;Delegacia da Receita Federal;Administrativa Federal;2020-08-28;12552407.31;Receita federal do Brasil;POSSÍVEL;Trata-se de processo administrativo, oriundo de autos de infração resultantes do Procedimento Fiscal n° 0816600.2019.00208, em razão da exigência de multas pela suposta ausência de entrega de Escrituração Digital Contábil ("ECD") e Escrituração Digital Fiscal ("ECF") entre 31/07/2017 e 31/07/2018, sob alegação de que o Fundo estaria sujeito à tributação aplicável às pessoas jurídicas, nos termos do artigo 2º da Lei nº 9.779/1999, uma vez que seus recursos estariam aplicados em empreendimento imobiliário que teria como incorporador, construtor ou sócio, cotista que possuiria mais de 25% de suas cotas.  Remetidos os autos à Delegacia da Receita Federal para julgamento.;O valor envolvido atualizado é de R$ 12.932.757,80
01.201.140/0001-90;2020-12-01;1;16327-720.192/2020-83;Delegacia da Receita Federal;Administrativa Federal;2020-08-28;38394555.67;Receita federal do Brasil;POSSÍVEL;Trata-se de processo administrativo, oriundo de autos de infração resultantes do Procedimento Fiscal n° 0816600.2019.00208, em razão da exigência de Contribuição para o Programa de Integração Social ("PIS") e Contribuição para o Financiamento da Seguridade Social ("COFINS") em relação a fatos geradores supostamente ocorridos entre 31/01/2016 e 31/12/2018, sob alegação de que o Fundo estaria sujeito à tributação aplicável às pessoas jurídicas, nos termos do artigo 2º da Lei nº 9.779/1999, uma vez que seus recursos estariam aplicados em empreendimento imobiliário que teria como incorporador, construtor ou sócio, cotista que possuiria mais de 25% de suas cotas.  Remetidos os autos à Delegacia da Receita Federal para julgamento.;O valor envolvido atualizado é de R$ 39.557.949,10
01.201.140/0001-90;2020-12-01;1;16327-720.191/2020-39;Delegacia da Receita Federal;Administrativa Federal;2020-08-28;107968140.9;Receita federal do Brasil;POSSÍVEL;Trata-se de processo administrativo, oriundo de autos de infração resultantes do Procedimento Fiscal n° 0816600.2019.00208, em razão da exigência de Imposto de Renda da Pessoa Jurídica ("IRPJ") e Contribuição Social sobre o Lucro Líquido ("CSLL") em relação a fatos geradores supostamente ocorridos entre 31/03/2016 e 31/12/2018, sob alegação de que o Fundo estaria sujeito à tributação aplicável às pessoas jurídicas, nos termos do artigo 2º da Lei nº 9.779/1999, uma vez que seus recursos estariam aplicados em empreendimento imobiliário que teria como incorporador, construtor ou sócio, cotista que possuiria mais de 25% de suas cotas.  Remetidos os autos à Delegacia da Receita Federal para julgamento.;O valor envolvido atualizado é de R$ 111.239.683,54
01.235.622/0001-61;2020-12-01;1;0158123-70.1995.8.19.0001;12ª Vara de Fazenda Pública;1ª Instância;1995-12-15;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X MUNICIPIO DO RIO DE JANEIRO;POSSÍVEL;Estamos atuando nesta ação unicamente para Impedir a realização de penhora sobre o matrícula do imóvel localizado na Rua General Goés Monteiro, nº 125.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0190483-14.2002.8.19.0001;12ª Vara de Fazenda Pública;1ª Instância;2002-08-09;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X MUNICIPIO DO RIO DE JANEIRO;POSSÍVEL;Estamos atuando nesta ação unifcamente para Impedir a realização de penhora sobre o matrícula do imóvel localizado na Rua General Goés Monteiro, nº 125.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;2004.001.135000-0;50ª VARA CÍVEL;1ª Instância;2004-11-18;339299;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X PATRÍCIA DE ALMEIDA GOMES;REMOTA;TRATA-SE DE EXECUÇÃO, TENDO EM VISTA O INADIMPLEMENTO NO PAGAMENTO DAS PRESTAÇÕES OBJETO DO FINANCIMENTO IMOBILIÁRIO;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0004990-14.2005.8.19.0209;6º VARA DA BARRA DA TIJUCA;1ª Instância;2005-06-10;34953;MARIA ELEONEIDA DE ALBUQUERQUE RIBEIRO X  OPPORTUNITY;REMOTA;DEVEDORA INGRESSOU COM EMBARGOS ALEGANDO QUE OS VALORES COBRADOS NÃO CONDIZEM COM O REAL VALOR QUE ALEGAMOS DEVIDO CONFIRMADO PELO PERITO -R$ 44.063,42, conforme EXTRATO DO CLIENTE;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0101033-84.2007.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2007-07-10;0;Banco Opportunity S/A X Município do Rio de Janeiro;REMOTA;Trata-se de medida cautelar de produção antecipada de provas cujo escopo é a realização de prova pericial a ser utilizada em posterior ação judicial ou processo administrativo, visando comprovar que o Município do Rio de Janeiro vem utilizando como base de cálculo de IPTU valor venal acima da realidade mercadológica do imóvel situado na Avenida das Américas, 700, loja 318, Barra da Tijuca.;Perda dos valores relacionados
